,card_played,hand_result,player,trump_card,card_led,player_bid,player_tricks_taken,player_hand,total_bids,total_tricks_taken,all_cards_played,hand_number,cards_played_trick
102,0D,,Mom,3S,"('Kelly', '9H')",2,0,"['2D', '9D', '2S', '2C', '0S', '3D']",10,1,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D')]}",8,"[('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D')]"
103,QC,,Dad,3S,"('Kelly', '9H')",3,0,"['AS', '8D', 'KS', 'JD', '4S', 'KD']",10,1,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC')]}",8,"[('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC')]"
104,0H,1,Jack,3S,"('Kelly', '9H')",1,0,"['7D', '8H', '8C', '7H', '0C', 'JS']",10,1,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H')]}",8,"[('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H')]"
105,JS,1,Jack,3S,"('Jack', 'JS')",1,1,"['7D', '8H', '8C', '7H', '0C']",10,2,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS')]}",8,"[('Jack', 'JS')]"
106,QS,1,Kelly,3S,"('Jack', 'JS')",1,1,"['KC', '3C', '2H', '4D', 'AC']",10,2,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS')]}",8,"[('Jack', 'JS'), ('Kelly', 'QS')]"
107,6S,1,Tim,3S,"('Jack', 'JS')",3,0,"['5S', '7C', '7S', '9C', '5C']",10,2,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S')]}",8,"[('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S')]"
108,2S,,Mom,3S,"('Jack', 'JS')",2,0,"['2D', '9D', '2C', '0S', '3D']",10,2,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S')]}",8,"[('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S')]"
109,AS,,Dad,3S,"('Jack', 'JS')",3,0,"['8D', 'KS', 'JD', '4S', 'KD']",10,2,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS')]}",8,"[('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS')]"
110,KD,,Dad,3S,"('Dad', 'KD')",3,1,"['8D', 'KS', 'JD', '4S']",10,3,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD')]}",8,"[('Dad', 'KD')]"
111,7D,1,Jack,3S,"('Dad', 'KD')",1,1,"['8H', '8C', '7H', '0C']",10,3,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D')]}",8,"[('Dad', 'KD'), ('Jack', '7D')]"
112,4D,1,Kelly,3S,"('Dad', 'KD')",1,1,"['KC', '3C', '2H', 'AC']",10,3,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D')]}",8,"[('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D')]"
113,5C,1,Tim,3S,"('Dad', 'KD')",3,0,"['5S', '7C', '7S', '9C']",10,3,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C')]}",8,"[('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C')]"
114,2D,,Mom,3S,"('Dad', 'KD')",2,0,"['9D', '2C', '0S', '3D']",10,3,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D')]}",8,"[('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D')]"
115,4S,,Dad,3S,"('Dad', '4S')",3,2,"['8D', 'KS', 'JD']",10,4,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S')]}",8,"[('Dad', '4S')]"
116,0C,1,Jack,3S,"('Dad', '4S')",1,1,"['8H', '8C', '7H']",10,4,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C')]}",8,"[('Dad', '4S'), ('Jack', '0C')]"
117,AC,1,Kelly,3S,"('Dad', '4S')",1,1,"['KC', '3C', '2H']",10,4,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC')]}",8,"[('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC')]"
118,5S,1,Tim,3S,"('Dad', '4S')",3,0,"['7C', '7S', '9C']",10,4,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S')]}",8,"[('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S')]"
119,0S,,Mom,3S,"('Dad', '4S')",2,0,"['9D', '2C', '3D']",10,4,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S')]}",8,"[('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S')]"
120,3D,,Mom,3S,"('Mom', '3D')",2,1,"['9D', '2C']",10,5,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D')]}",8,"[('Mom', '3D')]"
121,8D,,Dad,3S,"('Mom', '3D')",3,2,"['KS', 'JD']",10,5,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D')]}",8,"[('Mom', '3D'), ('Dad', '8D')]"
122,7H,1,Jack,3S,"('Mom', '3D')",1,1,"['8H', '8C']",10,5,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H')]}",8,"[('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H')]"
123,2H,1,Kelly,3S,"('Mom', '3D')",1,1,"['KC', '3C']",10,5,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H')]}",8,"[('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H')]"
124,9C,1,Tim,3S,"('Mom', '3D')",3,0,"['7C', '7S']",10,5,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C')]}",8,"[('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C')]"
125,JD,,Dad,3S,"('Dad', 'JD')",3,3,['KS'],10,6,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD')]}",8,"[('Dad', 'JD')]"
126,8C,1,Jack,3S,"('Dad', 'JD')",1,1,['8H'],10,6,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C')]}",8,"[('Dad', 'JD'), ('Jack', '8C')]"
127,3C,1,Kelly,3S,"('Dad', 'JD')",1,1,['KC'],10,6,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C')]}",8,"[('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C')]"
128,7S,1,Tim,3S,"('Dad', 'JD')",3,0,['7C'],10,6,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S')]}",8,"[('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S')]"
129,9D,,Mom,3S,"('Dad', 'JD')",2,1,['2C'],10,6,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S'), ('Mom', '9D')]}",8,"[('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S'), ('Mom', '9D')]"
130,7C,1,Tim,3S,"('Tim', '7C')",3,1,[],10,7,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S'), ('Mom', '9D'), ('Tim', '7C')]}",8,"[('Tim', '7C')]"
131,2C,,Mom,3S,"('Tim', '7C')",2,1,[],10,7,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S'), ('Mom', '9D'), ('Tim', '7C'), ('Mom', '2C')]}",8,"[('Tim', '7C'), ('Mom', '2C')]"
132,KS,,Dad,3S,"('Tim', '7C')",3,3,[],10,7,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S'), ('Mom', '9D'), ('Tim', '7C'), ('Mom', '2C'), ('Dad', 'KS')]}",8,"[('Tim', '7C'), ('Mom', '2C'), ('Dad', 'KS')]"
133,8H,1,Jack,3S,"('Tim', '7C')",1,1,[],10,7,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S'), ('Mom', '9D'), ('Tim', '7C'), ('Mom', '2C'), ('Dad', 'KS'), ('Jack', '8H')]}",8,"[('Tim', '7C'), ('Mom', '2C'), ('Dad', 'KS'), ('Jack', '8H')]"
134,KC,1,Kelly,3S,"('Tim', '7C')",1,1,[],10,7,"{8: [('Tim', 'JH'), ('Mom', '6D'), ('Dad', '5H'), ('Jack', 'KH'), ('Kelly', 'AH'), ('Kelly', '9H'), ('Tim', '4H'), ('Mom', '0D'), ('Dad', 'QC'), ('Jack', '0H'), ('Jack', 'JS'), ('Kelly', 'QS'), ('Tim', '6S'), ('Mom', '2S'), ('Dad', 'AS'), ('Dad', 'KD'), ('Jack', '7D'), ('Kelly', '4D'), ('Tim', '5C'), ('Mom', '2D'), ('Dad', '4S'), ('Jack', '0C'), ('Kelly', 'AC'), ('Tim', '5S'), ('Mom', '0S'), ('Mom', '3D'), ('Dad', '8D'), ('Jack', '7H'), ('Kelly', '2H'), ('Tim', '9C'), ('Dad', 'JD'), ('Jack', '8C'), ('Kelly', '3C'), ('Tim', '7S'), ('Mom', '9D'), ('Tim', '7C'), ('Mom', '2C'), ('Dad', 'KS'), ('Jack', '8H'), ('Kelly', 'KC')]}",8,"[('Tim', '7C'), ('Mom', '2C'), ('Dad', 'KS'), ('Jack', '8H'), ('Kelly', 'KC')]"
135,4C,,Dad,6C,"('Dad', '4C')",3,0,"['AC', '9H', '2D', '4H', '6H', '3C']",8,0,"{7: [('Dad', '4C')]}",7,"[('Dad', '4C')]"
136,8S,1,Jack,6C,"('Dad', '4C')",0,0,"['AD', '8H', '7H', '0H', '3H', 'JH']",8,0,"{7: [('Dad', '4C'), ('Jack', '8S')]}",7,"[('Dad', '4C'), ('Jack', '8S')]"
137,8C,1,Kelly,6C,"('Dad', '4C')",2,0,"['0S', '9C', '2S', '2H', '0D', '5D']",8,0,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C')]}",7,"[('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C')]"
138,2C,,Tim,6C,"('Dad', '4C')",2,0,"['AH', '6D', '6S', 'QD', '9S', 'JC']",8,0,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C')]}",7,"[('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C')]"
139,5C,,Mom,6C,"('Dad', '4C')",1,0,"['9D', 'AS', '5S', '3D', 'KS', '7D']",8,0,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C'), ('Mom', '5C')]}",7,"[('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C'), ('Mom', '5C')]"
140,5D,1,Kelly,6C,"('Kelly', '5D')",2,1,"['0S', '9C', '2S', '2H', '0D']",8,1,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C'), ('Mom', '5C'), ('Kelly', '5D')]}",7,"[('Kelly', '5D')]"
141,6D,,Tim,6C,"('Kelly', '5D')",2,0,"['AH', '6S', 'QD', '9S', 'JC']",8,1,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C'), ('Mom', '5C'), ('Kelly', '5D'), ('Tim', '6D')]}",7,"[('Kelly', '5D'), ('Tim', '6D')]"
142,9D,,Mom,6C,"('Kelly', '5D')",1,0,"['AS', '5S', '3D', 'KS', '7D']",8,1,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C'), ('Mom', '5C'), ('Kelly', '5D'), ('Tim', '6D'), ('Mom', '9D')]}",7,"[('Kelly', '5D'), ('Tim', '6D'), ('Mom', '9D')]"
143,2D,,Dad,6C,"('Kelly', '5D')",3,0,"['AC', '9H', '4H', '6H', '3C']",8,1,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C'), ('Mom', '5C'), ('Kelly', '5D'), ('Tim', '6D'), ('Mom', '9D'), ('Dad', '2D')]}",7,"[('Kelly', '5D'), ('Tim', '6D'), ('Mom', '9D'), ('Dad', '2D')]"
144,AD,1,Jack,6C,"('Kelly', '5D')",0,0,"['8H', '7H', '0H', '3H', 'JH']",8,1,"{7: [('Dad', '4C'), ('Jack', '8S'), ('Kelly', '8C'), ('Tim', '2C'), ('Mom', '5C'), ('Kelly', '5D'), ('Tim', '6D'), ('Mom', '9D'), ('Dad', '2D'), ('Jack', 'AD')]}",7,"[('Kelly', '5D'), ('Tim', '6D'), ('Mom', '9D'), ('Dad', '2D'), ('Jack', 'AD')]"
