,card_played,hand_result,player,trump_card,card_led,player_bid,player_tricks_taken,player_hand,total_bids,total_tricks_taken,all_cards_played,hand_number,cards_played_trick
15,0S,,Jack,9H,"('Jack', '0S')",3,1,"['JC', '0H', '3D', '2H', 'AC', '4H']",12,3,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S')]}",10,"[('Jack', '0S')]"
16,AH,1,Kelly,9H,"('Jack', '0S')",3,0,"['KH', '6H', '6C', '5C', 'KC', 'KD']",12,3,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH')]}",10,"[('Jack', '0S'), ('Kelly', 'AH')]"
17,JD,,Tim,9H,"('Jack', '0S')",3,0,"['7H', '3H', 'QC', '9C', '4C', 'JH']",12,3,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD')]}",10,"[('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD')]"
18,3S,1,Mom,9H,"('Jack', '0S')",1,1,"['0C', '2D', '0D', 'KS', 'QH', '5D']",12,3,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S')]}",10,"[('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S')]"
19,7C,,Dad,9H,"('Jack', '0S')",2,1,"['3C', '8H', '5H', '9D', '6D', '8C']",12,3,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C')]}",10,"[('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C')]"
20,KD,1,Kelly,9H,"('Kelly', 'KD')",3,1,"['KH', '6H', '6C', '5C', 'KC']",12,4,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD')]}",10,"[('Kelly', 'KD')]"
21,JH,,Tim,9H,"('Kelly', 'KD')",3,0,"['7H', '3H', 'QC', '9C', '4C']",12,4,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH')]}",10,"[('Kelly', 'KD'), ('Tim', 'JH')]"
22,2D,1,Mom,9H,"('Kelly', 'KD')",1,1,"['0C', '0D', 'KS', 'QH', '5D']",12,4,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D')]}",10,"[('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D')]"
23,9D,,Dad,9H,"('Kelly', 'KD')",2,1,"['3C', '8H', '5H', '6D', '8C']",12,4,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D')]}",10,"[('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D')]"
24,3D,,Jack,9H,"('Kelly', 'KD')",3,1,"['JC', '0H', '2H', 'AC', '4H']",12,4,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D')]}",10,"[('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D')]"
25,4C,,Tim,9H,"('Tim', '4C')",3,1,"['7H', '3H', 'QC', '9C']",12,5,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C')]}",10,"[('Tim', '4C')]"
26,0C,1,Mom,9H,"('Tim', '4C')",1,1,"['0D', 'KS', 'QH', '5D']",12,5,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C')]}",10,"[('Tim', '4C'), ('Mom', '0C')]"
27,3C,,Dad,9H,"('Tim', '4C')",2,1,"['8H', '5H', '6D', '8C']",12,5,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C')]}",10,"[('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C')]"
